Tree	-lnL	ti/tv ratio	p-inv	Site	-lnL
				304	12.80951090
				305	5.11670442
				306	1.49892229
				307	1.84650596
				308	6.56315160
				309	12.37300353
				310	1.93312276
				311	7.55867878
				312	5.15667000
				313	1.65713978
				314	1.84650596
				315	1.93312276
				316	10.82227981
				317	1.49892229
				318	1.65713978
				319	1.49892229
				320	1.93312276
				321	5.28508615
				322	8.53580573
				323	1.49892229
				324	1.49892229
				325	1.93312276
				326	1.65713978
				327	1.49892229
				328	5.11670442
				329	1.49892229
				330	1.49892229
				331	8.53580573
				332	5.32670174
				333	5.15667000
				334	6.98674400
				335	1.49892229
				336	1.49892229
				337	1.49892229
				338	1.65713978
				339	1.65713978
				340	1.93312276
				341	1.93312276
				342	1.49892229
				343	1.93312276
				344	1.49892229
				345	12.47355711
				346	1.65713978
				347	1.49892229
				348	1.84650596
				349	1.49892229
				350	1.49892229
				351	1.93312276
				352	1.49892229
				353	1.65713978
				354	1.65713978
				355	1.65713978
				356	1.93312276
				357	1.49892229
				358	1.84650596
				359	6.92574489
				360	1.93312276
				361	9.16271890
				362	1.49892229
				363	1.65713978
				364	9.62133646
				365	1.65713978
				366	1.93312276
				367	10.07805972
				368	9.96765061
				369	1.49892229
				370	7.85109310
				371	1.65713978
				372	5.56911938
				373	1.49892229
				374	1.65713978
				375	6.98991208
				376	1.84650596
				377	1.65713978
				378	1.84650596
				379	1.84650596
				380	1.65713978
				381	6.60091664
				382	9.10975428
				383	1.49892229
				384	1.49892229
				385	1.84650596
				386	1.49892229
				387	1.65713978
				388	1.65713978
				389	7.61437492
				390	1.49892229
				391	1.83731723
				392	6.60091664
				393	1.84650596
				394	6.73672456
				395	5.67323767
				396	1.93312276
				397	15.17571661
				398	1.84650596
				399	1.93312276
				400	5.15667000
				401	1.49892229
				402	1.49892229
				403	1.84650596
				404	1.84650596
				405	7.50080301
				406	9.88527262
				407	13.39547625
				408	1.65713978
				409	1.84650596
				410	1.93312276
				411	1.49892229
				412	1.65713978
				413	1.84650596
				414	6.35754270
				415	1.84650596
				416	1.93312276
				417	11.01550027
				418	1.65713978
				419	6.75665085
				420	5.28367731
				421	5.15667000
				422	1.65713978
				423	1.84650596
				424	1.49892229
				425	1.65713978
				426	1.65713978
				427	1.65713978
				428	1.49892229
				429	1.84650596
				430	1.93312276
				431	6.64065931
				432	5.15667000
				433	1.49892229
				434	1.49892229
				435	1.49892229
				436	1.65713978
				437	1.49892229
				438	1.84650596
				439	11.56038404
				440	1.65713978
				441	1.65713978
				442	8.31095391
				443	6.64014412
				444	1.49892229
				445	1.49892229
				446	1.65713978
				447	1.93312276
				448	1.93312276
				449	1.65713978
				450	1.49892229
				451	1.65713978
				452	8.80150084
				453	1.65713978
				454	1.84650596
				455	1.84650596
				456	1.84650596
				457	7.43754686
				458	6.68854886
				459	1.49892229
				460	1.93312276
				461	1.65713978
				462	1.49892229
				463	1.93312276
				464	1.84650596
				465	5.67323767
				466	5.99015315
				467	5.32670174
				468	1.49892229
				469	1.84650596
				470	5.63165472
				471	1.49892229
				472	1.93312276
				473	1.65713978
				474	1.65713978
				475	1.65713978
				476	1.84650596
				477	10.01660135
				478	1.65713978
				479	1.93312276
				480	1.49892229
				481	5.11554532
				482	1.65713978
				483	8.47916661
				484	1.65713978
				485	1.84650596
				486	1.93312276
				487	1.65713978
				488	9.30198805
				489	5.11670442
				490	10.27901046
				491	1.49892229
				492	9.59293812
				493	5.70008253
				494	1.49892229
				495	1.84650596
				496	5.28508615
				497	6.73133676
				498	1.93312276
				499	7.57513199
				500	5.63165472
				501	5.69822290
				502	5.11670442
				503	1.93312276
				504	1.65713978
				505	1.49892229
				506	5.67323767
				507	5.69822290
				508	1.65713978
				509	1.65713978
				510	1.84650596
				511	5.15667000
				512	1.84650596
				513	1.49892229
				514	1.93312276
				515	8.31692305
				516	1.65713978
				517	1.65713978
				518	1.49892229
				519	1.93312276
				520	8.38293156
				521	1.93312276
				522	5.62992212
				523	1.84650596
				524	1.84650596
				525	1.49892229
				526	1.84650596
				527	1.84650596
				528	1.93312276
				529	1.49892229
				530	1.49892229
				531	1.49892229
				532	5.11670442
				533	1.65713978
				534	1.49892229
				535	1.93312276
				536	1.65713978
				537	8.96483806
				538	1.49892229
				539	6.94591162
				540	6.87723206
				541	5.67323767
				542	1.49892229
				543	1.84650596
				544	1.65713978
				545	7.04151805
				546	5.15667000
				547	7.06495975
				548	9.22221283
				549	6.73672456
				550	1.49892229
				551	1.65713978
				552	1.65713978
				553	1.65713978
				554	1.84650596
				555	1.93312276
				556	1.84650596
				557	1.65713978
				558	1.65713978
				559	1.65713978
				560	1.49892229
				561	1.49892229
				562	1.65713978
				563	1.65713978
				564	1.93312276
				565	1.93312276
				566	1.49892229
				567	1.65713978
				568	1.84650596
				569	1.49892229
				570	1.49892229
				571	1.49892229
				572	5.38925774
				573	1.47120893
				574	1.81834223
				575	1.84650596
				576	1.84650596
				577	1.49892229
				578	1.84650596
				579	1.65713978
				580	1.84650596
				581	1.65713978
				582	1.65713978
				583	1.49892229
				584	1.84650596
				585	1.49892229
				586	1.49892229
				587	1.93312276
				588	1.49892229
				589	1.49892229
				590	1.65713978
				591	7.10336364
				592	7.39792503
				593	1.65713978
				594	1.93312276
				595	1.49892229
				596	1.93312276
				597	1.49892229
				598	1.49892229
				599	7.22950950
				600	1.93312276
				601	1.93312276
				602	1.65713978
				603	1.65713978
				604	1.93312276
				605	1.93312276
				606	1.84650596
				607	1.49892229
				608	1.65713978
				609	1.93312276
				610	5.38925774
				611	1.84650596
				612	1.65713978
				613	1.65713978
				614	8.99010994
				615	5.15667000
				616	1.84650596
				617	1.49892229
				618	1.65713978
				619	1.65713978
				620	1.49892229
				621	1.65713978
				622	1.65713978
				623	1.84650596
				624	1.84650596
				625	1.93312276
				626	1.93312276
				627	1.65713978
				628	1.84650596
				629	1.84650596
				630	1.65713978
				631	1.49892229
				632	1.49892229
				633	5.15667000
				634	9.36651410
				635	1.93312276
				636	1.93312276
				637	1.49892229
				638	1.65713978
				639	1.84650596
				640	1.65713978
				641	1.64841381
				642	7.84366072
				643	5.21731573
				644	7.29195033
				645	6.51462510
				646	7.29195033
				647	5.46943168
				648	8.86347445
				649	1.48945483
				650	1.64841381
				651	1.64841381
				652	1.64841381
				653	1.65713978
				654	1.84650596
				655	1.65713978
				656	1.49892229
				657	1.49892229
				658	1.93312276
				659	1.49892229
				660	1.49892229
				661	1.93312276
				662	1.49892229
				663	1.84650596
				664	1.65713978
				665	1.93312276
				666	1.49892229
				667	1.49892229
				668	1.84650596
				669	1.93312276
				670	1.49892229
				671	1.93312276
				672	1.84650596
				673	1.49892229
				674	1.93312276
				675	1.84650596
				676	1.65713978
				677	1.49892229
				678	1.84650596
				679	1.49892229
				680	1.93312276
				681	1.49892229
				682	8.64387992
				683	5.91692250
				684	1.49892229
				685	1.93312276
				686	6.39170095
				687	1.65713978
				688	5.38925774
				689	1.93312276
				690	1.49892229
				691	1.93312276
				692	7.22950950
				693	7.10336364
				694	5.38925774
				695	1.49892229
				696	1.93312276
				697	1.93312276
				698	1.65713978
				699	1.65713978
				700	1.49892229
				701	1.93312276
				702	1.84650596
				703	9.24957305
				704	1.84650596
				705	5.38925774
				706	5.91692250
				707	1.65713978
				708	1.65713978
				709	1.84650596
				710	1.49892229
				711	1.65713978
				712	1.49892229
				713	1.84650596
				714	1.49892229
				715	5.63165472
				716	1.65713978
				717	1.65713978
				718	1.84650596
				719	1.84650596
				720	1.84650596
				721	6.87723206
				722	9.34746660
				723	12.80242976
				724	1.93312276
				725	9.94520957
				726	1.93312276
				727	1.93312276
				728	1.84650596
				729	1.49892229
				730	1.49892229
				731	1.65713978
				732	1.49892229
				733	1.49892229
				734	1.65713978
				735	1.65713978
				736	1.49892229
				737	1.49892229
				738	8.94200834
				739	5.11670442
				740	7.06495975
				741	1.49892229
				742	1.49892229
				743	1.65713978
				744	8.43130078
				745	1.49892229
				746	1.65713978
				747	8.63925718
				748	1.49892229
				749	7.55955598
				750	1.84650596
				751	1.65713978
				752	1.65713978
				753	1.49892229
				754	1.93312276
				755	1.84650596
				756	1.65713978
				757	15.16406629
				758	1.84650596
				759	1.65713978
				760	1.93312276
				761	1.49892229
				762	1.84650596
				763	1.84650596
				764	1.84650596
				765	1.84650596
				766	1.93312276
				767	1.93312276
				768	1.65713978
				769	1.49892229
				770	1.49892229
				771	1.49892229
				772	1.84650596
				773	12.24318122
				774	7.42297146
				775	1.84650596
				776	1.65713978
				777	1.84650596
				778	1.65713978
				779	1.84650596
				780	1.49892229
				781	1.93312276
				782	6.60311735
				783	7.07832003
				784	1.93312276
				785	1.65713978
				786	1.84650596
				787	1.65713978
				788	7.06812783
				789	1.93312276
				790	1.49892229
				791	6.67843511
				792	15.49737299
				793	8.83538516
				794	10.34586258
				795	5.15667000
				796	5.11670442
				797	1.65713978
				798	1.84650596
				799	1.65713978
				800	5.28367731
				801	9.80890831
				802	9.48900409
				803	6.56315160
				804	1.49892229
				805	12.07645406
				806	11.10008474
				807	1.49892229
				808	1.84650596
				809	12.40740299
				810	1.65713978
				811	13.94932144
				812	10.56309079
				813	9.93487802
				814	7.15676713
				815	1.49892229
				816	7.43754686
				817	1.49892229
				818	1.65713978
				819	6.37377806
				820	7.54161882
				821	10.80119691
				822	15.79860482
				823	11.52759446
				824	1.65713978
				825	1.49892229
				826	1.84650596
				827	12.07937212
				828	5.56911938
				829	7.34475571
				830	1.65713978
				831	1.65713978
				832	5.63165472
				833	5.67323767
				834	10.89340699
				835	7.77156750
				836	13.28752543
				837	10.75443347
				838	1.84650596
				839	1.93312276
				840	9.37508448
				841	1.65713978
				842	1.49892229
				843	1.93312276
				844	1.93312276
				845	1.84650596
				846	5.11554532
				847	1.49892229
				848	1.65713978
				849	1.93312276
				850	1.93312276
				851	1.49892229
				852	8.83538516
				853	1.65713978
				854	1.49892229
				855	1.49892229
				856	1.84650596
				857	1.93312276
				858	1.49892229
				859	6.78393409
				860	1.65713978
				861	1.65713978
				862	1.84650596
				863	1.93312276
				864	1.84650596
				865	1.49892229
				866	1.84650596
				867	1.84650596
				868	1.93312276
				869	7.77156750
				870	1.84650596
				871	1.65713978
				872	1.93312276
				873	5.11670442
				874	1.65713978
				875	1.65713978
				876	1.49892229
				877	11.98458466
				878	10.26918165
				879	1.49892229
				880	1.49892229
				881	1.65713978
				882	1.65713978
				883	1.93312276
				884	1.84650596
				885	1.49892229
				886	1.84650596
				887	1.93312276
				888	1.65713978
				889	1.49892229
				890	1.93312276
				891	1.65713978
				892	1.65713978
				893	1.93312276
				894	1.84650596
				895	1.49892229
				896	1.84650596
				897	10.89494098
				898	5.38925774
				899	1.49892229
				900	1.93312276
				901	1.84650596
				902	1.65713978
				903	1.49892229
				904	1.65713978
				905	5.70008253
				906	1.65713978
				907	5.91692250
				908	10.28531671
				909	1.49892229
				910	1.84650596
				911	1.49892229
				912	1.49892229
				913	1.93312276
				914	1.49892229
				915	1.65713978
				916	1.65713978
				917	1.93312276
				918	12.27959283
				919	1.84650596
				920	1.49892229
1	3193.06638814	2.67827270	0.65238483
				1	6.32761323
				2	1.65716625
				3	1.49890320
				4	1.65716625
				5	1.65716625
				6	8.56004239
				7	1.84649981
				8	1.93312458
				9	7.21012055
				10	1.84649981
				11	6.63971363
				12	8.44030437
				13	9.78733031
				14	5.69626311
				15	10.51686708
				16	1.49890320
				17	1.49890320
				18	1.65716625
				19	15.25285960
				20	11.22063121
				21	7.07414989
				22	1.49890320
				23	1.49890320
				24	1.65716625
				25	1.65716625
				26	1.65716625
				27	1.84649981
				28	7.08829502
				29	9.24409510
				30	12.51838419
				31	1.93312458
				32	1.49890320
				33	1.84649981
				34	1.93312458
				35	1.65716625
				36	1.65716625
				37	1.93312458
				38	5.32532890
				39	1.84649981
				40	1.84649981
				41	7.16677015
				42	8.08749246
				43	7.26860348
				44	1.93312458
				45	1.65716625
				46	13.08861258
				47	1.49890320
				48	7.52194608
				49	1.49890320
				50	1.84649981
				51	1.93312458
				52	10.45643948
				53	1.49890320
				54	1.84649981
				55	5.15630203
				56	6.74144103
				57	1.84649981
				58	1.93312458
				59	1.49890320
				60	1.65716625
				61	1.93312458
				62	1.93312458
				63	1.65716625
				64	1.49890320
				65	1.84649981
				66	1.93312458
				67	11.49523915
				68	1.49890320
				69	1.93312458
				70	1.93312458
				71	1.49890320
				72	1.49890320
				73	1.93312458
				74	1.49890320
				75	1.49890320
				76	7.71309040
				77	1.65716625
				78	1.65716625
				79	1.49890320
				80	1.84649981
				81	8.71600842
				82	1.93312458
				83	7.32830019
				84	1.84649981
				85	1.84649981
				86	1.65716625
				87	1.65716625
				88	1.49890320
				89	1.49890320
				90	1.84649981
				91	9.36956999
				92	1.65716625
				93	9.13697672
				94	6.68261569
				95	1.65716625
				96	1.84649981
				97	1.93312458
				98	1.49890320
				99	6.38163090
				100	1.93312458
				101	7.16677015
				102	7.71309040
				103	1.49890320
				104	1.65716625
				105	1.49890320
				106	1.65716625
				107	1.49890320
				108	1.49890320
				109	1.65716625
				110	1.93312458
				111	1.49890320
				112	1.65716625
				113	1.93312458
				114	1.84649981
				115	1.65716625
				116	1.49890320
				117	5.63795810
				118	1.84649981
				119	1.65716625
				120	1.84649981
				121	1.65716625
				122	1.84649981
				123	1.93312458
				124	1.49890320
				125	1.49890320
				126	5.12181121
				127	1.65716625
				128	5.67425502
				129	1.93312458
				130	1.49890320
				131	1.65716625
				132	1.49890320
				133	1.65716625
				134	1.80993276
				135	1.65716625
				136	1.84649981
				137	1.49890320
				138	1.49890320
				139	8.28147778
				140	6.78022114
				141	1.84649981
				142	1.65716625
				143	1.49890320
				144	1.65716625
				145	1.84649981
				146	1.93312458
				147	8.43712671
				148	8.44038244
				149	1.93312458
				150	1.65716625
				151	1.84649981
				152	1.49890320
				153	1.49890320
				154	7.56047303
				155	1.65716625
				156	1.49890320
				157	1.49890320
				158	1.84649981
				159	1.65716625
				160	1.49890320
				161	1.84649981
				162	1.65716625
				163	1.49890320
				164	1.93312458
				165	1.49890320
				166	7.67185090
				167	1.49890320
				168	1.49890320
				169	1.65716625
				170	1.65716625
				171	1.93312458
				172	1.93312458
				173	1.93312458
				174	1.93312458
				175	5.90929325
				176	5.63795810
				177	1.49890320
				178	1.84649981
				179	1.65716625
				180	1.65716625
				181	1.93312458
				182	1.49890320
				183	1.49890320
				184	1.49890320
				185	1.84649981
				186	1.49890320
				187	12.76916974
				188	1.65716625
				189	1.65716625
				190	9.81318742
				191	1.65716625
				192	1.84649981
				193	5.12181121
				194	1.49890320
				195	1.65716625
				196	1.49890320
				197	1.84649981
				198	1.65716625
				199	1.65716625
				200	5.69626311
				201	6.38163090
				202	1.84649981
				203	1.84649981
				204	1.49890320
				205	1.84649981
				206	1.49890320
				207	1.93312458
				208	1.49890320
				209	9.48129094
				210	6.32761323
				211	1.49890320
				212	1.49890320
				213	8.65263243
				214	15.37865537
				215	1.49890320
				216	1.65716625
				217	12.36440716
				218	7.54982930
				219	1.49890320
				220	1.49890320
				221	1.49890320
				222	11.26500965
				223	8.95178130
				224	13.05343615
				225	8.80432308
				226	10.18274031
				227	8.09016724
				228	1.65716625
				229	1.84649981
				230	1.93312458
				231	1.93312458
				232	1.93312458
				233	1.93312458
				234	5.63795810
				235	8.54172346
				236	1.84649981
				237	7.26860348
				238	5.15630203
				239	6.32761323
				240	1.49890320
				241	1.65716625
				242	5.28926256
				243	1.49890320
				244	1.65716625
				245	1.93312458
				246	1.49890320
				247	1.65716625
				248	1.84649981
				249	1.49890320
				250	6.76083144
				251	1.93312458
				252	1.65716625
				253	7.09782220
				254	5.67425502
				255	1.93312458
				256	1.49890320
				257	8.09016724
				258	5.12181121
				259	1.49890320
				260	1.65716625
				261	1.65716625
				262	1.93312458
				263	1.65716625
				264	1.65716625
				265	1.49890320
				266	1.84649981
				267	6.97966740
				268	5.98194089
				269	1.84649981
				270	1.49890320
				271	1.49890320
				272	1.84649981
				273	1.93312458
				274	1.65716625
				275	1.65716625
				276	7.16232044
				277	1.93312458
				278	1.84649981
				279	8.70570929
				280	1.49890320
				281	1.65716625
				282	1.65716625
				283	13.26412718
				284	11.71992507
				285	10.81909499
				286	7.12514002
				287	5.27910272
				288	6.38163090
				289	5.15630203
				290	1.49890320
				291	1.84649981
				292	1.93312458
				293	8.43712671
				294	1.65716625
				295	1.65716625
				296	1.84649981
				297	5.67425502
				298	9.41735245
				299	5.69626311
				300	6.34257174
				301	10.28009282
				302	6.63513819
				303	9.62146034
				304	11.92939980
				305	5.12181121
				306	1.49890320
				307	1.84649981
				308	6.60934954
				309	12.38450517
				310	1.93312458
				311	7.56047303
				312	5.15630203
				313	1.65716625
				314	1.84649981
				315	1.93312458
				316	10.21365966
				317	1.49890320
				318	1.65716625
				319	1.49890320
				320	1.93312458
				321	5.28926256
				322	8.56004239
				323	1.49890320
				324	1.49890320
				325	1.93312458
				326	1.65716625
				327	1.49890320
				328	5.12181121
				329	1.49890320
				330	1.49890320
				331	8.56004239
				332	5.32532890
				333	5.15630203
				334	6.97966740
				335	1.49890320
				336	1.49890320
				337	1.49890320
				338	1.65716625
				339	1.65716625
				340	1.93312458
				341	1.93312458
				342	1.49890320
				343	1.93312458
				344	1.49890320
				345	13.08861258
				346	1.65716625
				347	1.49890320
				348	1.84649981
				349	1.49890320
				350	1.49890320
				351	1.93312458
				352	1.49890320
				353	1.65716625
				354	1.65716625
				355	1.65716625
				356	1.93312458
				357	1.49890320
				358	1.84649981
				359	6.92068016
				360	1.93312458
				361	9.14968751
				362	1.49890320
				363	1.65716625
				364	9.62612271
				365	1.65716625
				366	1.93312458
				367	10.07119366
				368	9.95602905
				369	1.49890320
				370	7.98385056
				371	1.65716625
				372	5.55913678
				373	1.49890320
				374	1.65716625
				375	6.99022047
				376	1.84649981
				377	1.65716625
				378	1.84649981
				379	1.84649981
				380	1.65716625
				381	6.59893499
				382	9.09007367
				383	1.49890320
				384	1.49890320
				385	1.84649981
				386	1.49890320
				387	1.65716625
				388	1.65716625
				389	7.58815891
				390	1.49890320
				391	1.83732086
				392	6.59893499
				393	1.84649981
				394	6.73153015
				395	5.67425502
				396	1.93312458
				397	15.20372294
				398	1.84649981
				399	1.93312458
				400	5.15630203
				401	1.49890320
				402	1.49890320
				403	1.84649981
				404	1.84649981
				405	7.52194608
				406	9.88946279
				407	13.67412395
				408	1.65716625
				409	1.84649981
				410	1.93312458
				411	1.49890320
				412	1.65716625
				413	1.84649981
				414	6.36425594
				415	1.84649981
				416	1.93312458
				417	11.02534847
				418	1.65716625
				419	6.75054767
				420	5.27910272
				421	5.15630203
				422	1.65716625
				423	1.84649981
				424	1.49890320
				425	1.65716625
				426	1.65716625
				427	1.65716625
				428	1.49890320
				429	1.84649981
				430	1.93312458
				431	6.63875811
				432	5.15630203
				433	1.49890320
				434	1.49890320
				435	1.49890320
				436	1.65716625
				437	1.49890320
				438	1.84649981
				439	11.68331631
				440	1.65716625
				441	1.65716625
				442	8.31492782
				443	6.63907461
				444	1.49890320
				445	1.49890320
				446	1.65716625
				447	1.93312458
				448	1.93312458
				449	1.65716625
				450	1.49890320
				451	1.65716625
				452	8.79017031
				453	1.65716625
				454	1.84649981
				455	1.84649981
				456	1.84649981
				457	7.43815138
				458	6.68407426
				459	1.49890320
				460	1.93312458
				461	1.65716625
				462	1.49890320
				463	1.93312458
				464	1.84649981
				465	5.67425502
				466	5.98194089
				467	5.32532890
				468	1.49890320
				469	1.84649981
				470	5.63795810
				471	1.49890320
				472	1.93312458
				473	1.65716625
				474	1.65716625
				475	1.65716625
				476	1.84649981
				477	10.00607480
				478	1.65716625
				479	1.93312458
				480	1.49890320
				481	5.11178117
				482	1.65716625
				483	8.47075446
				484	1.65716625
				485	1.84649981
				486	1.93312458
				487	1.65716625
				488	9.30917582
				489	5.12181121
				490	10.33539325
				491	1.49890320
				492	9.61069895
				493	5.70596768
				494	1.49890320
				495	1.84649981
				496	5.28926256
				497	6.72684258
				498	1.93312458
				499	7.54982930
				500	5.63795810
				501	5.69626311
				502	5.12181121
				503	1.93312458
				504	1.65716625
				505	1.49890320
				506	5.67425502
				507	5.69626311
				508	1.65716625
				509	1.65716625
				510	1.84649981
				511	5.15630203
				512	1.84649981
				513	1.49890320
				514	1.93312458
				515	8.31444212
				516	1.65716625
				517	1.65716625
				518	1.49890320
				519	1.93312458
				520	8.37232563
				521	1.93312458
				522	5.62826866
				523	1.84649981
				524	1.84649981
				525	1.49890320
				526	1.84649981
				527	1.84649981
				528	1.93312458
				529	1.49890320
				530	1.49890320
				531	1.49890320
				532	5.12181121
				533	1.65716625
				534	1.49890320
				535	1.93312458
				536	1.65716625
				537	8.70995181
				538	1.49890320
				539	7.00068461
				540	6.87203765
				541	5.67425502
				542	1.49890320
				543	1.84649981
				544	1.65716625
				545	7.03599793
				546	5.15630203
				547	7.05788314
				548	9.13959522
				549	6.73153015
				550	1.49890320
				551	1.65716625
				552	1.65716625
				553	1.65716625
				554	1.84649981
				555	1.93312458
				556	1.84649981
				557	1.65716625
				558	1.65716625
				559	1.65716625
				560	1.49890320
				561	1.49890320
				562	1.65716625
				563	1.65716625
				564	1.93312458
				565	1.93312458
				566	1.49890320
				567	1.65716625
				568	1.84649981
				569	1.49890320
				570	1.49890320
				571	1.49890320
				572	5.38064781
				573	1.47090534
				574	1.81804865
				575	1.84649981
				576	1.84649981
				577	1.49890320
				578	1.84649981
				579	1.65716625
				580	1.84649981
				581	1.65716625
				582	1.65716625
				583	1.49890320
				584	1.84649981
				585	1.49890320
				586	1.49890320
				587	1.93312458
				588	1.49890320
				589	1.49890320
				590	1.65716625
				591	7.08829502
				592	7.39865921
				593	1.65716625
				594	1.93312458
				595	1.49890320
				596	1.93312458
				597	1.49890320
				598	1.49890320
				599	7.21465740
				600	1.93312458
				601	1.93312458
				602	1.65716625
				603	1.65716625
				604	1.93312458
				605	1.93312458
				606	1.84649981
				607	1.49890320
				608	1.65716625
				609	1.93312458
				610	5.38064781
				611	1.84649981
				612	1.65716625
				613	1.65716625
				614	8.97430320
				615	5.15630203
				616	1.84649981
				617	1.49890320
				618	1.65716625
				619	1.65716625
				620	1.49890320
				621	1.65716625
				622	1.65716625
				623	1.84649981
				624	1.84649981
				625	1.93312458
				626	1.93312458
